,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
501,501,9,"“I think I should understand that better,” Alice said very politely, “if I had it written down: but I can’t quite follow it as you say it.”",27,139,,,,,,,,,,
502,502,9,"“That’s nothing to what I could say if I chose,” the Duchess replied, in a pleased tone.",17,88,,,,,,,,,,
503,503,9,"“Pray don’t trouble yourself to say it any longer than that,” said Alice.",13,73,,,,,,,,,,
504,504,9,"“Oh, don’t talk about trouble!” said the Duchess. “I make you a present of everything I’ve said as yet.”",19,104,,,,,,,Statement,The Duchess dismisses Alice's concerns about trouble.,Duchess,
505,505,9,“A cheap sort of present!” thought Alice. “I’m glad they don’t give birthday presents like that!” But she did not venture to say it out loud.,26,141,,,,,,,,,,
506,506,9,"“Thinking again?” the Duchess asked, with another dig of her sharp little chin.",13,79,,,,,,,,,,
507,507,9,"“I’ve a right to think,” said Alice sharply, for she was beginning to feel a little worried.",17,92,,,,,,,,,,
508,508,9,"“Just about as much right,” said the Duchess, “as pigs have to fly; and the m—”",16,79,,,,,,,,,,
509,509,9,"But here, to Alice’s great surprise, the Duchess’s voice died away, even in the middle of her favourite word ‘moral,’ and the arm that was linked into hers began to tremble. Alice looked up, and there stood the Queen in front of them, with her arms folded, frowning like a thunderstorm.",51,286,,,,Queen's arrival and decision,"The Queen appears, threatening the Duchess with execution. This sudden shift in tone establishes the Queen's tyrannical nature and sets a tone of danger, foreshadowing the chaos to come.",6.0,Action,Alice is startled when she hears the Duchess's voice close to her ear.,Alice,Inciting Incident
510,510,9,"“A fine day, your Majesty!” the Duchess began in a low, weak voice.",13,67,,,,Queen's arrival and decision,"The Queen appears, threatening the Duchess with execution. This sudden shift in tone establishes the Queen's tyrannical nature and sets a tone of danger, foreshadowing the chaos to come.",6.0,,,,Inciting Incident
511,511,9,"“Now, I give you fair warning,” shouted the Queen, stamping on the ground as she spoke; “either you or your head must be off, and that in about half no time! Take your choice!”",34,176,garden,EXT,day,Queen's arrival and decision,"The Queen appears, threatening the Duchess with execution. This sudden shift in tone establishes the Queen's tyrannical nature and sets a tone of danger, foreshadowing the chaos to come.",6.0,Statement,The Queen threatens the Duchess with losing her head.,Queen,Inciting Incident
512,512,9,"The Duchess took her choice, and was gone in a moment.",11,54,garden,EXT,day,The Duchess's execution,The Duchess chooses her fate and is executed by the Queen. This stark moment underscores the arbitrary cruelty of the Queen's rule and raises the stakes for Alice.,7.0,,,,Turning Point
513,513,9,"“Let’s go on with the game,” the Queen said to Alice; and Alice was too much frightened to say a word, but slowly followed her back to the croquet-ground.",29,154,garden,EXT,day,The Queen's arrival,,7.0,,,,
514,514,9,"The other guests had taken advantage of the Queen’s absence, and were resting in the shade: however, the moment they saw her, they hurried back to the game, the Queen merely remarking that a moment’s delay would cost them their lives.",41,234,garden,EXT,day,,,,Statement,The Queen orders the game to continue despite the chaos.,Queen,
515,515,9,"All the time they were playing the Queen never left off quarrelling with the other players, and shouting “Off with his head!” or “Off with her head!” Those whom she sentenced were taken into custody by the soldiers, who of course had to leave off being arches to do this, so that by the end of half an hour or so there were no arches left, and all the players, except the King, the Queen, and Alice, were in custody and under sentence of execution.",85,448,garden,EXT,day,,,,,,,
516,516,9,"Then the Queen left off, quite out of breath, and said to Alice, “Have you seen the Mock Turtle yet?”",20,101,,,,Alice is taken to see the Mock Turtle,"After the Duchess’s execution, the Queen takes Alice to meet the Mock Turtle, signaling a change in Alice’s journey and setting the stage for further whimsical encounters.",5.0,Statement,The Queen inquires if Alice has seen the Mock Turtle.,Queen,Setup
517,517,9,"“No,” said Alice. “I don’t even know what a Mock Turtle is.”",12,60,,,,Alice is taken to see the Mock Turtle,"After the Duchess’s execution, the Queen takes Alice to meet the Mock Turtle, signaling a change in Alice’s journey and setting the stage for further whimsical encounters.",5.0,,,,Setup
518,518,9,"“It’s the thing Mock Turtle Soup is made from,” said the Queen.",12,63,,,,Alice is taken to see the Mock Turtle,"After the Duchess’s execution, the Queen takes Alice to meet the Mock Turtle, signaling a change in Alice’s journey and setting the stage for further whimsical encounters.",5.0,,,,Setup
519,519,9,"“I never saw one, or heard of one,” said Alice.",10,47,,,,Alice is taken to see the Mock Turtle,"After the Duchess’s execution, the Queen takes Alice to meet the Mock Turtle, signaling a change in Alice’s journey and setting the stage for further whimsical encounters.",5.0,,,,Setup
520,520,9,"“Come on, then,” said the Queen, “and he shall tell you his history,”",13,69,,,,Alice is taken to see the Mock Turtle,"After the Duchess’s execution, the Queen takes Alice to meet the Mock Turtle, signaling a change in Alice’s journey and setting the stage for further whimsical encounters.",5.0,Action,The Queen decides to lead Alice to the Mock Turtle.,Queen,Setup
521,521,9,"As they walked off together, Alice heard the King say in a low voice, to the company generally, “You are all pardoned.” “Come, _that’s_ a good thing!” she said to herself, for she had felt quite unhappy at the number of executions the Queen had ordered.",46,253,,,,Introduction to the Mock Turtle,,6.0,,,,
522,522,9,"They very soon came upon a Gryphon, lying fast asleep in the sun. (If you don’t know what a Gryphon is, look at the picture.) “Up, lazy thing!” said the Queen, “and take this young lady to see the Mock Turtle, and to hear his history. I must go back and see after some executions I have ordered;” and she walked off, leaving Alice alone with the Gryphon. Alice did not quite like the look of the creature, but on the whole she thought it would be quite as safe to stay with it as to go after that savage Queen: so she waited.",104,525,outdoor,EXT,day,Encounter with the Gryphon,"Alice meets the Gryphon, who offers a mix of light-heartedness and mischief. This character adds depth to the narrative and introduces a whimsical guide for Alice.",4.0,Action,The Gryphon wakes up and chuckles at the situation.,Gryphon,Setup
523,523,9,"The Gryphon sat up and rubbed its eyes: then it watched the Queen till she was out of sight: then it chuckled. “What fun!” said the Gryphon, half to itself, half to Alice.",33,171,outdoor,EXT,day,Meeting the Gryphon,,5.0,,,,
524,524,9,“What _is_ the fun?” said Alice.,6,32,outdoor,EXT,day,Meeting the Gryphon,,5.0,,,,
525,525,9,"“Why, _she_,” said the Gryphon. “It’s all her fancy, that: they never executes nobody, you know. Come on!”",18,106,outdoor,EXT,day,,,,Statement,The Gryphon explains that the Queen's threats are just a fancy.,Gryphon,
526,526,9,"“Everybody says ‘come on!’ here,” thought Alice, as she went slowly after it: “I never was so ordered about in all my life, never!”",24,131,outdoor,EXT,day,,,,,,,
527,527,9,"They had not gone far before they saw the Mock Turtle in the distance, sitting sad and lonely on a little ledge of rock, and, as they came nearer, Alice could hear him sighing as if his heart would break. She pitied him deeply. “What is his sorrow?” she asked the Gryphon, and the Gryphon answered, very nearly in the same words as before, “It’s all his fancy, that: he hasn’t got no sorrow, you know. Come on!”",78,411,outdoor,EXT,day,Introduction of the Mock Turtle,"Alice arrives with the Gryphon to see the Mock Turtle, who sits forlornly. This encounter promises to uncover a new aspect of Wonderland's lore and characters.",5.0,,,,Inciting Incident
